year,round,region_number,region_name,seed,score,team,team.1,score.1,seed.1,text_chunk
1988,2,2,East,1,74,Temple,Georgetown,53,8,"NCAA Tournament Game (1988), Round 2, East region. Temple (Seed 1) 74 - Georgetown (Seed 8) 53. ... Upset: no upset."
1988,2,2,East,2,94,Duke,SMU,79,7,"NCAA Tournament Game (1988), Round 2, East region. Duke (Seed 2) 94 - SMU (Seed 7) 79. ... Upset: no upset."
1988,2,2,East,3,94,Syracuse,Rhode Island,97,11,"NCAA Tournament Game (1988), Round 2, East region. Syracuse (Seed 3) 94 - Rhode Island (Seed 11) 97. ... Upset: UPSET."
1988,2,2,East,13,59,Richmond,Georgia Tech,55,5,"NCAA Tournament Game (1988), Round 2, East region. Richmond (Seed 13) 59 - Georgia Tech (Seed 5) 55. ... Upset: UPSET."
1988,2,3,West,1,84,Arizona,Seton Hall,55,8,"NCAA Tournament Game (1988), Round 2, West region. Arizona (Seed 1) 84 - Seton Hall (Seed 8) 55. ... Upset: no upset."
1988,2,3,West,2,123,North Carolina,Loyola Marymount,97,10,"NCAA Tournament Game (1988), Round 2, West region. North Carolina (Seed 2) 123 - Loyola Marymount (Seed 10) 97. ... Upset: no upset."
1988,2,3,West,3,108,Michigan,Florida,85,6,"NCAA Tournament Game (1988), Round 2, West region. Michigan (Seed 3) 108 - Florida (Seed 6) 85. ... Upset: no upset."
1988,2,3,West,4,85,UNLV,Iowa,104,5,"NCAA Tournament Game (1988), Round 2, West region. UNLV (Seed 4) 85 - Iowa (Seed 5) 104. ... Upset: UPSET."
1988,2,4,Southeast,1,107,Oklahoma,Auburn,87,8,"NCAA Tournament Game (1988), Round 2, Southeast region. Oklahoma (Seed 1) 107 - Auburn (Seed 8) 87. ... Upset: no upset."
1988,2,4,Southeast,2,90,Kentucky,Maryland,81,7,"NCAA Tournament Game (1988), Round 2, Southeast region. Kentucky (Seed 2) 90 - Maryland (Seed 7) 81. ... Upset: no upset."
1988,2,4,Southeast,3,63,Illinois,Villanova,66,6,"NCAA Tournament Game (1988), Round 2, Southeast region. Illinois (Seed 3) 63 - Villanova (Seed 6) 66. ... Upset: UPSET."
1988,2,4,Southeast,4,76,BYU,Louisville,97,5,"NCAA Tournament Game (1988), Round 2, Southeast region. BYU (Seed 4) 76 - Louisville (Seed 5) 97. ... Upset: UPSET."
1988,3,1,Midwest,1,70,Purdue,Kansas St,73,4,"NCAA Tournament Game (1988), Round 3, Midwest region. Purdue (Seed 1) 70 - Kansas St (Seed 4) 73. ... Upset: UPSET."
1988,3,1,Midwest,7,64,Vanderbilt,Kansas,77,6,"NCAA Tournament Game (1988), Round 3, Midwest region. Vanderbilt (Seed 7) 64 - Kansas (Seed 6) 77. ... Upset: no upset."
1988,3,2,East,1,69,Temple,Richmond,47,13,"NCAA Tournament Game (1988), Round 3, East region. Temple (Seed 1) 69 - Richmond (Seed 13) 47. ... Upset: no upset."
1988,3,2,East,2,73,Duke,Rhode Island,72,11,"NCAA Tournament Game (1988), Round 3, East region. Duke (Seed 2) 73 - Rhode Island (Seed 11) 72. ... Upset: no upset."
